TICKET_ID,NUMSEQ,PRODUCT_ID,QUANTITY,PRICE,TAX_AMOUNT,PRODUCT_AMOUNT
36701285,1,645158,2,70.50000,11.28000,141.00000
48937606,2,202412,1,75.05000,12.00800,75.05000
53957703,3,9850,2,115.95000,18.55200,231.90000
56714845,4,656897,1,99.99000,15.99840,99.99000
56714845,5,432766,1,85.90000,13.74400,85.90000
56714845,6,2039,2,150.00000,24.00000,300.00000
56714845,7,459184,1,119.99000,19.19840,119.99000
56714845,8,226664,1,130.20000,20.83200,130.20000
56714845,9,440491,4,200.10000,32.01600,800.40000
60188437,10,979687,1,160.00000,25.60000,160.00000
67620743,11,181304,3,125.00000,20.00000,375.00000
84048495,12,335234,3,145.00000,23.20000,435.00000
102459992,13,958854,1,89.99000,14.39840,89.99000
120080542,14,35987,4,159.00000,25.44000,636.00000
147515781,15,908915,3,160.00000,25.60000,480.00000
156508130,16,749703,1,133.00000,21.28000,133.00000
159687857,17,8500,2,140.00000,22.40000,280.00000
162158408,18,958254,1,121.00000,19.36000,121.00000
162158408,19,2039,3,150.00000,24.00000,450.00000
205520764,20,459184,3,119.99000,19.19840,359.97000
205520764,21,260403,3,177.00000,28.32000,531.00000
219973888,22,645158,1,70.50000,11.28000,70.50000
224410475,23,202412,1,75.05000,12.00800,75.05000
238204511,24,9850,1,115.95000,18.55200,115.95000
255660742,25,656897,1,99.99000,15.99840,99.99000
262984448,26,432766,2,85.90000,13.74400,171.80000
263890764,27,739557,1,230.00000,36.80000,230.00000
263890764,28,755767,1,221.00000,35.36000,221.00000
264933961,29,226664,2,130.20000,20.83200,260.40000
270540857,30,440491,1,200.10000,32.01600,200.10000
270540857,31,979687,2,160.00000,25.60000,320.00000
272388740,32,181304,1,125.00000,20.00000,125.00000
283859458,33,335234,3,145.00000,23.20000,435.00000
287933691,34,958854,1,89.99000,14.39840,89.99000
288009088,35,35987,1,159.00000,25.44000,159.00000
301839262,36,908915,1,160.00000,25.60000,160.00000
317433510,37,749703,2,133.00000,21.28000,266.00000
404910302,38,8500,3,140.00000,22.40000,420.00000
407459794,39,958254,4,121.00000,19.36000,484.00000
407744780,40,2039,1,150.00000,24.00000,150.00000
412367561,41,459184,2,119.99000,19.19840,239.98000
412367561,42,260403,3,177.00000,28.32000,531.00000
421843710,43,979687,2,160.00000,25.60000,320.00000
458286378,44,181304,1,125.00000,20.00000,125.00000
489537837,45,335234,2,145.00000,23.20000,290.00000
489537837,46,958854,1,89.99000,14.39840,89.99000
489537837,47,35987,1,159.00000,25.44000,159.00000
489537837,48,908915,2,160.00000,25.60000,320.00000
491842836,49,749703,1,133.00000,21.28000,133.00000
491842836,50,8500,1,140.00000,22.40000,140.00000
491842836,51,958254,2,121.00000,19.36000,242.00000
